bc,w,F_used,t,N_traj,avg_x,C_sim,se_C_sim,alpha_fit,steps_max,steps_mean
periodic,5,0.00080000000000000004,24036773728.773376,1000,2.9489999999999998,0.18324955553704295,0,0,8657,1481.7650000000001
periodic,5,0.00080000000000000004,24114399708.650627,1000,3.6469999999999998,0.22640386508566418,0,0,8075,1393.002
periodic,5,0.00080000000000000004,24192276379.108162,1000,3.181,0.19728390627065623,0,0,8843,1444.04
periodic,5,0.00080000000000000004,24270404549.742874,1000,3.21,0.19888999541894334,0,0,8141,1442.9269999999999
periodic,5,0.00080000000000000004,24348785032.766506,1000,2.9529999999999998,0.18278950985630774,0,0,7589,1437.614
periodic,5,0.00080000000000000004,24427418643.013828,1000,2.6589999999999998,0.16443189984260589,0,0,11201,1419.425
periodic,5,0.00080000000000000004,24506306197.950783,1000,3.2450000000000001,0.20047598429023797,0,0,7406,1409.6489999999999
periodic,5,0.00080000000000000004,24585448517.683594,1000,2.585,0.15954680685515965,0,0,7830,1505.239
periodic,5,0.00080000000000000004,24664846424.966999,1000,4.3090000000000002,0.26569536564616658,0,0,8531,1479.066
periodic,5,0.00080000000000000004,24744500745.212482,1000,4.6760000000000002,0.28804603650597993,0,0,9384,1518.798
periodic,5,0.00080000000000000004,24824412306.497478,1000,3.2690000000000001,0.20117881134591001,0,0,9158,1509.645
periodic,5,0.00080000000000000004,24904581939.573566,1000,2.8159999999999998,0.17313301166509151,0,0,7890,1496.069
periodic,5,0.00080000000000000004,24985010477.875313,1000,3.1800000000000002,0.19532339718043215,0,0,9193,1488.163
periodic,5,0.00080000000000000004,25065698757.528534,1000,2.3769999999999998,0.14586001265672757,0,0,9151,1422.348
